actor,opening night,show,wikipedia link,terminal school,school (2),relatives,theater credits,film credits,tv credits,screen credits before opening night,screen credits after opening night
Janet Dacal,2023,"New York, New York",https://en.wikipedia.org/wiki/Janet_Dacal,Florida International University,,,,,,0,0
Ephraim Sykes,2015,Hamilton,https://en.wikipedia.org/wiki/Ephraim_Sykes,Fordham University,,"Martina Sykes (sister, not as famous)",7,,,0,0
Emily Bergl,2023,"Good Night, Oscar",https://en.wikipedia.org/wiki/Emily_Bergl,Grinnell College,,,,12,35,47,0
Tam Mutu,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Tam_Mutu,Guildford School of Acting,,,24,,7,7,0
Laurie Metcalf,2023,Grey House,https://en.wikipedia.org/wiki/Laurie_Metcalf,Illinois State University,,,,,,0,0
Sean Hayes,2023,"Good Night, Oscar",https://en.wikipedia.org/wiki/Sean_Hayes,Illinois State University,,,5,19,38,57,0
Aaron Tveit,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Aaron_Tveit,Ithaca College,,,20,12,14,22,2
Michelle Federer,2003,Wicked,https://en.wikipedia.org/wiki/Michelle_Federer,Ithaca College,,,,5,9,1,12
Eddie Cooper,2023,Parade,https://en.wikipedia.org/wiki/Eddie_Cooper,Ithaca College,,,3,,,0,0
Bebe Neuwirth,1996,Chicago,https://en.wikipedia.org/wiki/Bebe_Neuwirth,Juilliard School,,,24,28,46,19,55
Ben Rappaport,2023,"Good Night, Oscar",https://en.wikipedia.org/wiki/Ben_Rappaport,Juilliard School,,,,5,11,16,0
Betsy Struxness,2015,Hamilton,https://en.wikipedia.org/wiki/Betsy_Struxness,Juilliard School,,,12,,,0,0
Oscar Isaac,2023,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Oscar_Isaac,Juilliard School,Miami Dade College,Nicole Hernandez Hammer (sister),,,,0,0
Phillipa Soo,2015,Hamilton,https://en.wikipedia.org/wiki/Phillipa_Soo,Juilliard School,,,12,10,6,3,13
Seth Numrich,2022,Leopoldstadt,https://en.wikipedia.org/wiki/Seth_Numrich,Juilliard School,,,,,,0,0
Steven Boyer,2022,Kimberly Akimbo,https://en.wikipedia.org/wiki/Steven_Boyer,Juilliard School,,,12,14,24,36,2
Tom Alan Robbins,1997,The Lion King,https://en.wikipedia.org/wiki/Tom_Alan_Robbins,Juilliard School,,,,2,14,9,5
Henry Shields,2023,Peter Pan Goes Wrong,https://en.wikipedia.org/wiki/Henry_Shields,London Academy of Music and Dramatic Art (LAMDA),"(, Cranbrook School, Kent)",,,,,0,0
Andrew Rannells,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Andrew_Rannells,Marymount Manhattan College,,,14,10,46,18,38
Annaleigh Ashford,2023,Sweeney Todd,https://en.wikipedia.org/wiki/Annaleigh_Ashford,Marymount Manhattan College,,,16,13,33,44,2
Emmy Raver-Lampman,2015,Hamilton,https://en.wikipedia.org/wiki/Emmy_Raver-Lampman,Marymount Manhattan College,,,8,6,9,0,15
Justin Guarini,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Justin_Guarini,New York Conservatory for Dramatic Arts (NYCDA),,,,,4,3,0
Alli Mauzey,2022,Kimberly Akimbo,https://en.wikipedia.org/wiki/Alli_Mauzey,New York University,,,,,,0,0
Amber Gray,2019,Hadestown,https://en.wikipedia.org/wiki/Amber_Gray,New York University,Boston University,,27,5,5,5,5
André De Shields,2019,Hadestown,https://en.wikipedia.org/wiki/Andr%C3%A9_De_Shields,New York University,"Baltimore City College
Wilmington College
University of Wisconsin, Madison",,,,,0,0
Arielle Jacobs,2023,Here Lies Love,https://en.wikipedia.org/wiki/Arielle_Jacobs,New York University,,,10,,,0,0
Asmeret Ghebremichael,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Asmeret_Ghebremichael,New York University,,,10,5,7,6,7
Brandon Uranowitz,2022,Leopoldstadt,https://en.wikipedia.org/wiki/Brandon_Uranowitz,New York University,,,12,4,9,11,2
Idina Menzel,2003,Wicked,https://en.wikipedia.org/wiki/Idina_Menzel,New York University,,,16,20,30,3,47
Javier Muñoz,2015,Hamilton,https://en.wikipedia.org/wiki/Javier_Mu%C3%B1oz,New York University,,,3,4,7,2,9
Jay Armstrong Johnson,2023,Parade,https://en.wikipedia.org/wiki/Jay_Armstrong_Johnson,New York University,,,24,1,5,4,0
Julie Benko,2022,Funny Girl,https://en.wikipedia.org/wiki/Julie_Benko,New York University,,,11,,,1,0
Kevin Cahoon,1997,The Lion King,https://en.wikipedia.org/wiki/Kevin_Cahoon,New York University,,,,4,3,1,6
Manoel Felciano,2023,Parade,https://en.wikipedia.org/wiki/Manoel_Felciano,New York University,Yale University,,,1,5,6,0
Marchánt Davis,2023,"Good Night, Oscar",https://en.wikipedia.org/wiki/March%C3%A1nt_Davis,New York University,,,4,2,,0,0
Paul Sparks,2023,Grey House,https://en.wikipedia.org/wiki/Paul_Sparks,New York University,,,11,26,21,47,0
Rachel Brosnahan,2023,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Rachel_Brosnahan,New York University,,Kate Spade (aunt),4,25,20,44,1
Victoria Clark,2022,Kimberly Akimbo,https://en.wikipedia.org/wiki/Victoria_Clark,New York University,Yale University,,,10,15,25,0
Adam Jacobs,2014,Aladdin,https://en.wikipedia.org/wiki/Adam_Jacobs,New York University,,,9,7,3,4,6
Khori Michelle Petinaud,2014,Aladdin,,New York University,,,5,,,,
Betsy Aidem,2022,Leopoldstadt,https://en.wikipedia.org/wiki/Betsy_Aidem,New York University,,,16,,,0,0
Dakin Matthews,2023,Camelot,https://en.wikipedia.org/wiki/Dakin_Matthews,New York University,,,18,43,29,72,0
Jared Gertner,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Jared_Gertner,New York University,,,,0,9,3,6
Nikki M. James,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Nikki_M_James,New York University,,,21,6,21,7,20
Ruthie Ann Miles,2023,Sweeney Todd,https://en.wikipedia.org/wiki/Ruthie_Ann_Miles,New York University,,,14,1,4,4,0
Ryann Redmond,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Ryann_Redmond,New York University,,,20,1,3,4,0
Timothy Hughes,2019,Hadestown,,New York University,,,5,,,,
Angie Schworer,2022,Some Like It Hot,https://en.wikipedia.org/wiki/Angie_Schworer,Northern Kentucky University,,,,,,0,0
Alex Weisman,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Alex_Weisman,Northwestern University,,Robin Weisman (sister),1,,,0,0
Madeline Weinstein,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Madeline_Weinstein,Northwestern University,,,4,4,5,7,2
Michael McCormick,2022,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Michael_McCormick,Northwestern University,,,18,,,0,0
Peter Grosz,2023,"Good Night, Oscar",https://en.wikipedia.org/wiki/Peter_Grosz,Northwestern University,,,1,9,22,31,0
Bonnie Milligan,2022,Kimberly Akimbo,https://en.wikipedia.org/wiki/Bonnie_Milligan,Ohio State,,,2,,,0,0
Jonathan Freeman,2014,Aladdin,https://en.wikipedia.org/wiki/Jonathan_Freeman,Ohio University,,,46,14,20,26,8
Benjamin Rivera,2019,Moulin Rouge! The Musical,,Oklahoma City University,,,3,,,,
Kristin Chenoweth,2003,Wicked,https://en.wikipedia.org/wiki/Kristin_Chenoweth,Oklahoma City University,,,,31,45,10,66
Sasha Hutchings,2015,Hamilton,https://en.wikipedia.org/wiki/Sasha_Hutchings,Oklahoma City University,,,13,2,8,1,8
Jordan Donica,2023,Camelot,https://en.wikipedia.org/wiki/Jordan_Donica,Otterbein University,,,13,,3,3,0
Paul Alexander Nolan,2023,Parade,https://en.wikipedia.org/wiki/Paul_Alexander_Nolan,Randolph College for the Performing Arts,,,0,4,5,9,0
Courtney Reed,2014,Aladdin,https://en.wikipedia.org/wiki/Courtney_Reed,Roosevelt University,,,,4,6,7,3
Hiran Abeysekera,2023,Life of Pi,https://en.wikipedia.org/wiki/Hiran_Abeysekera,Royal Academy of Dramatic Art (RADA),,,15,2,6,8,0
Jamie Parker,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Jamie_Parker,Royal Academy of Dramatic Art (RADA),,,25,5,17,20,2
Anthony Boyle,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Anthony_Boyle,Royal Welsh College of Music and Drama,,,7,6,8,5,9
Jon Rua,2015,Hamilton,https://en.wikipedia.org/wiki/Jon_Rua,Rutgers University,,,0,6,6,,
Martin Moran,2022,Funny Girl,https://en.wikipedia.org/wiki/Martin_Moran,Stanford University,,,17,,,0,0
Anna Uzele,2021,Six,,Texas State University,,,5,,,,
Andrea Macasaet,2021,Six,https://en.wikipedia.org/wiki/Andrea_Macasaet,The Canadian College of Performing Arts,,,10,1,,1,0
Norbert Leo Butz,2003,Wicked,https://en.wikipedia.org/wiki/Norbert_Leo_Butz,University of Alabama,Webster University,,20,17,20,5,32
John Vickery,1997,The Lion King,https://en.wikipedia.org/wiki/John_Vickery,"University of California, Davis",,,6,,,0,0
Daisuke Tsuji,2023,Life of Pi,https://en.wikipedia.org/wiki/Daisuke_Tsuji,"University of California, Los Angeles",,,1,5,10,15,0
Geraldine Hughes,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Geraldine_Hughes,"University of California, Los Angeles",,,9,12,11,19,2
Danny Burstein,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Danny_Burstein,"University of California, San Diego","City University of New York, Queens",,27,22,41,46,16
Howard McGillin,2023,Parade,https://en.wikipedia.org/wiki/Howard_McGillin,"University of California, Santa Barbara",,,21,,,0,0
Poppy Miller,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Poppy_Miller,University of Cambridge,,,1,5,23,26,2
Betsy Wolfe,2022,& Juliet,https://en.wikipedia.org/wiki/Betsy_Wolfe,University of Cincinnati College-Conservatory of Music,,,22,4,2,7,0
Karen Olivo,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Karen_Olivo,University of Cincinnati College-Conservatory of Music,,,17,,,0,0
Kristy Cates,2003,Wicked,https://en.wikipedia.org/wiki/Kristy_Cates,University of Cincinnati College-Conservatory of Music,,,9,,,0,0
