actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Ann Reinking,Chicago,https://en.wikipedia.org/wiki/Ann_Reinking,,,,4,3,29
Ariana DeBose,Hamilton,https://en.wikipedia.org/wiki/Ariana_DeBose,,,,11,8,12
Becky Gulsvig,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Becky_Gulsvig,,,,,,11
Benjamin Rivera,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Benjamin_Rivera,,,,,41,2
Benjamin Rivera,"New York, New York",https://en.wikipedia.org/wiki/Benjamin_Rivera,,,,,41,2
Betsy Aidem,Leopoldstadt,https://en.wikipedia.org/wiki/Betsy_Aidem,,,,,,16
Betsy Morgan,Kimberly Akimbo,https://en.wikipedia.org/wiki/Betsy_Morgan,,,,,,18
Brooklyn Shuck,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Brooklyn_Shuck,,,,,2,7
Caissie Levy,Leopoldstadt,https://en.wikipedia.org/wiki/Caissie_Levy,,,,2,6,12
Carole Shelley,Wicked,https://en.wikipedia.org/wiki/Carole_Shelley,,,,22,10,
Caroline Innerbichler,Shucked,https://en.wikipedia.org/wiki/Caroline_Innerbichler,,,,,,20
Clifton Davis,Aladdin,https://en.wikipedia.org/wiki/Clifton_Davis,,,,12,42,
Clyde Alves,"New York, New York",https://en.wikipedia.org/wiki/Clyde_Alves,,,,,,19
Colleen Fitzpatrick,Kimberly Akimbo,https://en.wikipedia.org/wiki/Colleen_Fitzpatrick,,,,,,33
Dakin Matthews,Camelot,https://en.wikipedia.org/wiki/Dakin_Matthews,,,,43,29,18
David Krumholtz,Leopoldstadt,https://en.wikipedia.org/wiki/David_Krumholtz,,,,52,54,4
Eddie Cooper,Parade,https://en.wikipedia.org/wiki/Eddie_Cooper,,,,,,3
Ericka Hunter,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Ericka_Hunter,,,,,,15
Eva Noblezada,Hadestown,https://en.wikipedia.org/wiki/Eva_Noblezada,,,Annette Calud (aunt),4,1,4
Gaten Matarazzo,Sweeney Todd,https://en.wikipedia.org/wiki/Gaten_Matarazzo,,,,3,9,8
Glenn Fitzgerald,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Glenn_Fitzgerald,,,,23,18,
Heather Headley,The Lion King,https://en.wikipedia.org/wiki/Heather_Headley,,,,6,5,2
James Monroe Iglehart,Aladdin,https://en.wikipedia.org/wiki/James_Monroe_Iglehart,,,,7,31,11
Jamie Parker,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Jamie_Parker,,,,5,17,25
Jared Gertner,The Book of Mormon,https://en.wikipedia.org/wiki/Jared_Gertner,,,,0,9,
Jeremiah James,Funny Girl,https://en.wikipedia.org/wiki/Jeremiah_James,,,,,,3
Jodie Comer,Prima Facie,https://en.wikipedia.org/wiki/Jodie_Comer,,,,6,23,2
Joel Grey,Chicago,https://en.wikipedia.org/wiki/Joel_Grey,,,"Mickey Katz (father)
Ronald A. Katz (brother)",21,54,21
Joel Grey,Wicked,https://en.wikipedia.org/wiki/Joel_Grey,,,"Mickey Katz (father)
Ronald A. Katz (brother)",21,54,21
John Behlmann,Shucked,https://en.wikipedia.org/wiki/John_Behlmann,,,,10,10,
Jonathan Groff,Hamilton,https://en.wikipedia.org/wiki/Jonathan_Groff,,,,19,18,23
Jordan Fisher,Sweeney Todd,https://en.wikipedia.org/wiki/Jordan_Fisher,,,,,,6
Josh Groban,Sweeney Todd,https://en.wikipedia.org/wiki/Josh_Groban,,,,5,31,3
Justin Cooley,Kimberly Akimbo,https://en.wikipedia.org/wiki/Justin_Cooley,,,,,,2
Justin Guarini,Once Upon a One More Time,https://en.wikipedia.org/wiki/Justin_Guarini,,,,,4,
Kevyn Morrow,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Kevyn_Morrow,,,,7,18,
Kristin Chenoweth,Wicked,https://en.wikipedia.org/wiki/Kristin_Chenoweth,,,,31,45,
Lea Salonga,Here Lies Love,https://en.wikipedia.org/wiki/Lea_Salonga,,,"Gerard Salonga (brother)
Maniya Barredo (cousin)
Shay Mitchell (cousin)",,,
Leigh Zimmerman,Chicago,https://en.wikipedia.org/wiki/Leigh_Zimmerman,,,,10,10,
Marcia Lewis,Chicago,https://en.wikipedia.org/wiki/Marcia_Lewis,,,,,,11
Marisha Wallace,Aladdin,https://en.wikipedia.org/wiki/Marisha_Wallace,,,,,,8
Max Casella,The Lion King,https://en.wikipedia.org/wiki/Max_Casella,,,,34,30,
Melanie La Barrie,& Juliet,https://en.wikipedia.org/wiki/Melanie_La_Barrie,,,,,,12
Mia Sinclair Jenness,Grey House,https://en.wikipedia.org/wiki/Mia_Sinclair_Jenness,,,Emily Bauer (mother),,,1
Micaela Diamond,Parade,https://en.wikipedia.org/wiki/Micaela_Diamond,,,,2,6,8
Michael Berresse,Chicago,https://en.wikipedia.org/wiki/Michael_Berresse,,,,5,,19
Michael McCormick,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Michael_McCormick,,,,,,18
Michael Potts,The Book of Mormon,https://en.wikipedia.org/wiki/Michael_Potts,,,,17,38,23
Millicent Simmonds,Grey House,https://en.wikipedia.org/wiki/Millicent_Simmonds,,,,4,2,1
Neil Haskell,Hamilton,https://en.wikipedia.org/wiki/Neil_Haskell,,,,1,1,
Nikki Crawford,Fat Ham,https://en.wikipedia.org/wiki/Nikki_Crawford,,,,,,11
Nikki M. James,The Book of Mormon,https://en.wikipedia.org/wiki/Nikki_M_James,,,,,,21
Noma Dumezweni,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Noma_Dumezweni,,,,6,28,5
Okieriete Onaodowan,Hamilton,https://en.wikipedia.org/wiki/Okieriete_Onaodowan,,,,7,15,9
Patrick Page,Hadestown,https://en.wikipedia.org/wiki/Patrick_Page,,,,6,15,25
Paul Alexander Nolan,Parade,https://en.wikipedia.org/wiki/Paul_Alexander_Nolan,,,,,,0
Peter Francis James,Funny Girl,https://en.wikipedia.org/wiki/Peter_Francis_James,,,,10,24,
Peter Grosz,"Good Night, Oscar",https://en.wikipedia.org/wiki/Peter_Grosz,,,,9,22,1
Ramin Karimloo,Funny Girl,https://en.wikipedia.org/wiki/Ramin_Karimloo,,,,10,4,38
Reeve Carney,Hadestown,https://en.wikipedia.org/wiki/Reeve_Carney,,,Art Carney (great-uncle),7,5,3
Richard Gallagher,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Richard_Gallagher,,,,,,11
Robyn Hurder,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Robyn_Hurder,,,,,,21
Robyn Hurder,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Robyn_Hurder,,,,,,21
Ruthie Ann Miles,Sweeney Todd,https://en.wikipedia.org/wiki/Ruthie_Ann_Miles,,,,1,4,14
Ryan Steele,Once Upon a One More Time,https://en.wikipedia.org/wiki/Ryan_Steele,,,,3,5,6
Ryann Redmond,Once Upon a One More Time,https://en.wikipedia.org/wiki/Ryann_Redmond,,,,1,3,20
Sahr Ngaujah,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Sahr_Ngaujah,,,,17,11,7
Sam Clemmett,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Sam_Clemmett,,,,,,6
Sasha Hutchings,Hamilton,https://en.wikipedia.org/wiki/Sasha_Hutchings,,,,2,8,13
Seth Stewart,Hamilton,https://en.wikipedia.org/wiki/Seth_Stewart,,,,,,3
Sophia Anne Caruso,Grey House,https://en.wikipedia.org/wiki/Sophia_Anne_Caruso,,,,3,5,11
Tatiana Maslany,Grey House,https://en.wikipedia.org/wiki/Tatiana_Maslany,,,,26,39,9
Will Swenson,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Will_Swenson,,,,10,13,20
William Michals,Parade,https://en.wikipedia.org/wiki/William_Michals,,,,,3,11
William Youmans,Wicked,https://en.wikipedia.org/wiki/William_Youmans,,,Vincent Youmans (great-uncle),8,5,34
"Aaron ""AJ"" Mercado",Here Lies Love,,,,,,,
